date,region,class,special,runoff,offyear,disabled,candidate,party,voteshare
01/11/1999,Alabama,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.128
01/11/1999,Alabama,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Alaska,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.007
01/11/1999,Alaska,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Arizona,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Arizona,3,TRUE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Arkansas,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.422
01/11/1999,Arkansas,3,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,California,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,California,3,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Colorado,2,FALSE,FALSE,FALSE,FALSE,Republican,REP,0.009
01/11/1999,Colorado,3,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Connecticut,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Connecticut,3,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Delaware,1,FALSE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
01/11/1999,Delaware,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.118
01/11/1999,Florida,3,TRUE,FALSE,FALSE,FALSE,Democratic,DEM,0.008
01/11/1999,Florida,1,FALSE,FALSE,FALSE,TRUE,Republican,REP,1.00
01/11/1999,Georgia,2,FALSE,FALSE,FALSE,FALSE,Democratic,DEM,0.009
01/11/1999,Georgia,3,TRUE,FALSE,FALSE,TRUE,Democratic,DEM,1.00
